Area Type,Area Name,Year,Period,Labor Force,Employment,Unemployment,Unemployment Rate,Seasonally Adjusted (Y N),Status
County,Alameda County,2016,Annual,837900,802400,35500,4.2%,N,Final
County,Alpine County,2016,Annual,560,520,40,6.5%,N,Final
County,Amador County,2016,Annual,14650,13780,860,5.9%,N,Final
County,Butte County,2016,Annual,102300,95600,6700,6.5%,N,Final
County,Calaveras County,2016,Annual,20910,19740,1180,5.6%,N,Final
County,Colusa County,2016,Annual,10890,9200,1690,15.5%,N,Final
County,Contra Costa County,2016,Annual,556500,531800,24600,4.4%,N,Final
County,Del Norte County,2016,Annual,9810,9080,730,7.5%,N,Final
County,El Dorado County,2016,Annual,89700,85200,4500,5.1%,N,Final
County,Fresno County,2016,Annual,446200,404100,42100,9.4%,N,Final
County,Glenn County,2016,Annual,13090,12020,1080,8.2%,N,Final
County,Humboldt County,2016,Annual,62700,59600,3100,4.9%,N,Final
County,Imperial County,2016,Annual,76900,58800,18100,23.5%,N,Final
County,Inyo County,2016,Annual,8980,8510,470,5.2%,N,Final
County,Kern County,2016,Annual,389100,348900,40200,10.3%,N,Final
County,Kings County,2016,Annual,57200,51500,5700,10%,N,Final
County,Lake County,2016,Annual,29380,27430,1950,6.6%,N,Final
County,Lassen County,2016,Annual,10520,9790,720,6.9%,N,Final
County,Los Angeles County,2016,Annual,5043300,4778800,264500,5.2%,N,Final
County,Madera County,2016,Annual,61500,55800,5600,9.2%,N,Final
County,Marin County,2016,Annual,141100,136500,4600,3.2%,N,Final
County,Mariposa County,2016,Annual,7550,7030,520,6.9%,N,Final
County,Mendocino County,2016,Annual,39870,37780,2080,5.2%,N,Final
County,Merced County,2016,Annual,115000,103000,12100,10.5%,N,Final
County,Modoc County,2016,Annual,3330,3070,260,7.8%,N,Final
County,Mono County,2016,Annual,8410,7960,450,5.3%,N,Final
County,Monterey County,2016,Annual,220400,203800,16700,7.6%,N,Final
County,Napa County,2016,Annual,73400,70300,3100,4.3%,N,Final
County,Nevada County,2016,Annual,48420,46120,2300,4.7%,N,Final
County,Orange County,2016,Annual,1602400,1538000,64300,4%,N,Final
County,Placer County,2016,Annual,179800,171800,8000,4.4%,N,Final
County,Plumas County,2016,Annual,7870,7110,760,9.6%,N,Final
County,Riverside County,2016,Annual,1051800,988000,63800,6.1%,N,Final
County,Sacramento County,2016,Annual,697400,660100,37300,5.4%,N,Final
County,San Benito County,2016,Annual,29800,27800,2000,6.8%,N,Final
County,San Bernardino County,2016,Annual,935600,882200,53400,5.7%,N,Final
County,San Diego County,2016,Annual,1570400,1497000,73500,4.7%,N,Final
County,San Francisco County,2016,Annual,559800,541600,18200,3.3%,N,Final
County,San Joaquin County,2016,Annual,319200,293500,25700,8.1%,N,Final
County,San Luis Obispo County,2016,Annual,140400,134400,6000,4.3%,N,Final
